,index,Unnamed: 0,abstract,president
174,174,174,"Chuck Hagel, a Republican from Nebraska, was elected to the Senate in 1996 and retired in 2008. Following are some of his recent statements on issues he is likely to confront if he is confirmed as secretary of defense.",Obama
175,175,175,"Should there be American troops left in Afghanistan after 2014? Ideally, no, but the Pentagon is pushing for them.",Obama
176,176,176,The fiscal cliff deal could make tax reform more difficult.,Obama
177,177,177,"President Obama sought on Friday to enlist supporters to mount a public lobbying campaign on behalf of gun control in the wake of the mass killings in Newtown, Conn.",Obama
178,178,178,"The Senate Republican leader, Mitch McConnell, made clear in three television appearances that he would oppose any effort by the Obama administration to further increase tax revenue and that he remained focused on finding ways to cut spending as the government grapples with debilitating debt.",Obama
179,179,179,"President Obama speaks at a vigil for victims of the massacre at an elementary school in Newtown, Conn., on Sunday.",Obama
180,180,180,"The Obama administration is considering a range of as low as 3,000 troops and as high of 9,000.",Obama
181,181,181,"The president has offered to give away a lot, both politically and substantively, but it should be his last offer because Speaker John Boehner keeps saying no.",Obama
182,182,182,The Constitution gives the president alone the power to grant pardons. It is time for President Obama to use this singular responsibility.,Obama
183,183,183,Is C-Span’s V.P. more entertaining than HBO’s Veep?,Obama
184,184,184,"We’ve had lots of deal-making in Washington lately, but hardly any displays of courage from anyone.",Obama
185,185,185,"Administration officials cautioned that President Obama had not made a final decision or offered Chuck Hagel the job as defense secretary, but those who know the former senator said all signs point to his selection.",Obama
186,186,186,"When President Obama’s inaugural planners released the names of donors on Friday, only a handful of companies were on the list of several hundred contributors.",Obama
187,187,187,An important part of the military budget bill will provide female service members with insurance coverage for abortions in cases of rape and incest.,Obama
188,188,188,President Obama said he would not get into another fight over the debt ceiling.,Obama
189,189,189,Hopes for a fiscal agreement faded on Wednesday as Speaker John A. Boehner moved for a House vote on a scaled-down plan to limit tax increases.,Obama
190,190,190,"More than a spending bill, the National Defense Authorization Act of 2013 also includes provisions dealing with military suicides and the accommodation of the conscience, moral principles or religious beliefs of service members.",Obama
191,191,191,Does the fiscal cliff deal increase or reduce the deficit? It depends on whom you ask.,Obama
192,192,192,"Leading House Republicans restated firm opposition to new limits on guns or ammunition, setting up the chance of a bitter legislative battle  soon after President Obama’s inauguration.",Obama
193,193,193,"The distant past seems to fall into tidy categories. Not so the first decade of the 2000s, which we haven’t even agreed on a name for.",Obama
194,194,194,The Times's Jeremy W. Peters discusses President Obama's latest offer in ongoing fiscal negotiations with Speaker John A. Boehner.,Obama
195,195,195,A federal court ruling denies access to information involving the killing of an American citizen. The public has the right to know.,Obama
196,196,196,"In his signing statement, President Obama objected to numerous provisions, but did not clarify his position on the indefinite detention of American citizens without trial.",Obama
197,197,197,"Let’s put the cliff deal, which was part of a larger class war, in perspective.",Obama
198,198,198,"For nuclear talks with Iran, President Obama should learn two Persian words: maslahat and aberu.",Obama
199,199,199,TimesCast Politics: Speaker John A. Boehner faces down his caucus. | The delay of a Hurricane Sandy relief bill sets off a revolt.,Obama
200,200,200,"A 2013 wish list, for Congress, the NFL and certain individuals far too self-regarding to mention here.",Obama
201,201,201,"Residents of Newtown Conn., share their thoughts on President Obama’s address at the vigil for victims of the Sandy Hook massacre.",Obama
202,202,202,"Hurricane Sandy, last month’s Latino turnout for Democrats and now the Newtown, Conn., shootings have presented President Obama with many decisions — and openings to make new arguments.",Obama
203,203,203,"Douglas Schorzman, assistant foreign editor, talks about the Obama administration’s drone campaign and the deadly reprisals in Pakistan’s tribal belt.",Obama
204,204,204,The unwillingness of House Republicans to work for the common good suggests that the 113th Congress will be bitterly unproductive.,Obama
205,205,205,Starting bipartisan talks in the Senate to put pressure on the House may become a more formalized process as President Obama and lawmakers grapple with other fiscal deadlines.,Obama
206,206,206,"Even as Republicans vow to leverage the federal borrowing limit in their demands for spending cuts, President Obama, who signed the tax bill Wednesday, says he won’t join in more charged talks on the issue.",Obama
207,207,207,The last-minute compromise set the stage for yet more fighting in Washington.,Obama
208,208,208,TimesCast: Examining the deal that averted tax increases and spending cuts. | Deadly reprisals in Pakistan’s drone wars.,Obama
209,209,209,A federal judge refused to require the Justice Department to disclose a memorandum providing the legal justification for the killing of a United States citizen in Yemen in 2011.,Obama
210,210,210,Brooks and Collins on some other cliffs we might fall off and the overlooked virtues of constitutional monarchy.,Obama
211,211,211,Two dozen musical bands so far have agreed to march in President Obama’s inaugural parade.,Obama
212,212,212,"Ending a climactic showdown in the final hours of the 112th Congress, the House sent to President Obama legislation to avert big income tax increases on most Americans.",Obama
213,213,213,"In a bereaved Connecticut town, President Obama chided the nation for not having done enough to protect its children from attacks like the one Friday that left 20 elementary school students dead.",Obama
214,214,214,"The Senate easily passed the measure, which also put off cuts in spending, early on Tuesday after the deadline on the so-called fiscal cliff had passed. Republican House aides said a vote Tuesday was possible.",Obama
215,215,215,"In Washington, where President Obama and the Republican-controlled House are apt to clash, big bipartisan legislative dreams seem all but certain to be miniaturized as incremental policy visions.",Obama
216,216,216,The tentative deal reached between leaders in the Senate raises taxes but falls far short of meeting the nation’s long-term needs.,Obama
217,217,217,The deal we are heading toward is discouraging. It doesn’t involve a single hard decision.,Obama
218,218,218,We need a new Emancipation Proclamation to free the millions still held in servitude worldwide.,Obama
219,219,219,"President Obama delivered to Speaker John A. Boehner a new offer that would raise revenues by $1.2 trillion over 10 years but maintain tax rates for any household earning below $400,000.",Obama
220,220,220,The agency charged with stopping illegal firearm sales needs leadership  and new rules,Obama
221,221,221,"The presidential election in November revealed the degree to which the United States is a deeply divided country, one in which the news media add complexity to political campaigns.",Obama
222,222,222,The Senate was set to reconvene Monday after failing to produce a fiscal deal with just hours to go before large tax increases and spending cuts were to begin taking effect.,Obama
223,223,223,Congress should carefully scrutinize Obama administration plans to sell spy drones to Seoul.,Obama
224,224,224,A commitment to keep taxes low for the middle class could be one reason that the political process has become so deeply dysfunctional.,Obama
225,225,225,The fear of another painful economic slowdown appears to have accelerated deal-making on Capitol Hill with just two days remaining before the so-called fiscal cliff arrives.,Obama
226,226,226,"President Obama delivers an emotional statement on the massacre at an elementary school in Newtown, Conn.",Obama
227,227,227,"Can Michelle Obama, who has used celebrity and style to redefine her role as first lady, step off the glamour pedestal and broaden her reach?",Obama
228,228,228,"After weeks of fruitless negotiations with the House speaker, John A. Boehner, President Obama turned to Senator Harry Reid and Senator Mitch McConnell to try to avert a fiscal crisis.",Obama
229,229,229,"President Obama and House Speaker John A. Boehner have little regard for each other’s bargaining skills, with a relationship damaged by their failure to reach a budget deal 18 months ago.",Obama
230,230,230,President Obama has the tools to reduce gas emissions significantly. He should use them.,Obama
231,231,231,TimesCast Politics: The treasury secretary warns the U.S. will reach its borrowing limit on Monday. | The implications of the fiscal deadline on personal finances. | Planning Obama’s inauguration.,Obama
232,232,232,"As President Mohamed Morsi and his Muslim Brotherhood allies stood accused of authoritarianism, President Obama, via phone, urged him to offer his opposition compromises.",Obama
233,233,233,The National Rifle Association has taken an increasingly active role in judicial nominations.,Obama
234,234,234,Speaker John A. Boehner and President Obama made no apparent progress in bridging their parties’ differences on taxes and entitlement programs.,Obama
235,235,235,"John Kerry, who had hoped for the position when President Obama was first elected in 2008, would likely win a large number of Republican votes for confirmation.",Obama
236,236,236,The Times's Michael R. Gordon on President Obama's announcement that the United States will formally recognize a coalition of Syrian opposition groups as the country's legitimate representatives.,Obama
237,237,237,"In the wake of the deadly shooting in Connecticut, some legislators have remained silent, but liberal Democrats said it was time to move forward with serious gun laws.",Obama
238,238,238,"The November election significantly weakened the once-surging movement, and its activists have not been front and center in the fiscal debate consuming Washington.",Obama
239,239,239,"On a Christmas Eve phone call with Michelle Obama, a young man wouldn’t take no for an answer when he asked her to visit him.",Obama
240,240,240,"China has published a series of scathing articles and editorials in its state-run news media, attacking two amendments to a new U.S. military spending bill. One amendment reaffirms a mutual security treaty with Japan and recognizes Tokyo’s control of the disputed Senkaku islands. The other provision supports the sale of dozens of new F-16 fighter jets to Taiwan.",Obama
241,241,241,"Declaring Syria’s opposition as its legitimate representative, marks a new phase of engagement for President Obama in a nearly two-year bloody struggle.",Obama
242,242,242,"The only official concert will be a children’s concert, similar to one that was held in 2009, according to the planners.",Obama
