,abstract,president
32,"In Representative Adam B. Schiff, Speaker Pelosi has chosen a lead impeachment manager who knows the case against President Trump but has become a lightning rod for Republican critics.",Trump
33,The group of Democratic lawmakers preparing to press the case against President Trump is about half as large as and far more diverse than the team that prosecuted President Bill Clinton.,Trump
34,The fallout continues from an inspector general’s findings that the bureau botched wiretap applications in the Russia investigation.,Trump
35,The freshman Democrat is one of the first two Latina congresswomen from Texas.,Trump
36,"Ms. Demings, a relatively junior member of Congress from Florida who had been a police chief, has become a respected questioner on both the House Judiciary and Intelligence committees.",Trump
37,"Administration officials say they are restoring “deterrence” against Iran, but the president’s reluctance to use force in the Middle East may be creating an opening for Tehran.",Trump
38,"Once cited by the special counsel team as an exemplary cooperating witness, Mr. Flynn had grown increasingly combative in recent months.",Trump
39,"The House Judiciary Committee asked the Department of Homeland Security for documents, data and communications on the “Remain in Mexico” asylum policy.",Trump
40,"Rank-and-file senators and party leaders made clear on Monday that even if they wanted to pursue dismissal, the votes simply were not there to succeed — at least not at the outset of the trial.",Trump
41,The Treasury Department’s removal of the designation provided a major concession to China just days before it is set to sign a trade deal with the United States.,Trump
42,The Supreme Court has never definitively resolved whether Congress can sue the president.,Trump
43,"Over 10 days, officials have struggled to rationalize the decision that risked a war with Iran.",Trump
44,The disparity between the defense secretary and President Trump added another twist to an ever-evolving explanation for a strike on an Iranian general that led to the brink of war.,Trump
45,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.",Trump
46,"Ivanka Trump’s husband will now supervise her father’s re-election campaign, but he continues to weigh in with advice to the president on a range of other matters.",Trump
47,"Speaker Nancy Pelosi said she would send the charges to the Senate “when I’m ready, and that will probably be soon.”",Trump
48,"Intelligence that foreshadowed the Iranian attack set off a tense, often confusing afternoon in the White House Situation Room.",Trump
49,"The Trump administration staffed an E.P.A. advisory panel with its choice of scientists, but they  concluded that three significant regulatory rollbacks broke with established science.",Trump
50,"The intention, with no commitment to calling witnesses or admitting new evidence, foreshadows a partisan vote to kick off a divisive proceeding.",Trump
51,"Prosecutors said Mr. Flynn, President Trump’s first national security adviser, had “chosen to reverse course” on cooperating and accepting guilt after they had previously argued for a lenient sentence.",Trump
52,Democrats want to block President Trump from unilaterally starting a war with Iran and have turned to a mostly untested law.,Trump
53,A plan that homeland security officials once praised as a deterrent for Central Americans considering the long journey through Mexico is being expanded.,Trump
54,"The E.P.A. opened an effort to cut  pollution from trucks, an anomaly for an administration known for regulatory rollbacks but a move that would also pre-empt state rules.",Trump
55,"Construction of President Trump’s border wall has been slow going, in part because the Texans who own the land have to be coaxed or coerced to sell it, whether they want to or not.",Trump
56,"President Trump’s decision to strike a top Iranian general has upended Congress’s priorities, thrusting matters of war and peace into the spotlight.",Trump
57,Secretary of State Mike Pompeo added to President Trump’s earlier message that the U.S. might attack Iran if it took hostile actions against American interests for the strike on Maj. Gen. Qassim Suleimani.,Trump
58,"In one of its first environmental acts, the Trump administration absolved businesses from responsibility for ""incidental"" bird deaths. Avian carnage has followed.",Trump
59,"The secretary of state will “reaffirm U.S. support for Ukraine’s sovereignty,” becoming the first cabinet official to meet with the Ukrainian leader since President Trump’s impeachment inquiry began.",Trump
60,Senator Chuck Schumer was responding to an article that detailed how a number of White House advisers dealt with the president’s order to freeze military aid for Ukraine.,Trump
61,The inside story of President Trump’s demand to halt military assistance to an ally shows the price he was willing to pay to carry out his agenda.,Trump
62,"Voting nearly along party lines, the House approved two articles of impeachment against President Trump, making him the third president in history to face removal by the Senate.",Trump
63,"After the House voted to impeach President Trump, readers across the United States shared their hopes and fears for the country’s future.",Trump
64,Senator Lisa Murkowski of Alaska revealed the first public qualms with Mitch McConnell’s vow to coordinate with the White House on a quick impeachment trial for President Trump.,Trump
65,The president’s China and North American trade pacts reverse a trend of opening markets that was decades in the making.,Trump
66,President Trump sent a letter on Tuesday to Speaker Nancy Pelosi expressing his “most powerful protest” against the impeachment process. The House is expected to vote on two articles of impeachment against Mr. Trump on Wednesday.,Trump
67,A bill to defend U.S. national security against Russia looks like an artifact from a different age — 10 months ago — when both parties agreed on the threat from Moscow.,Trump
68,Speaker Nancy Pelosi said she would wait to see what the trial in the Senate would look like before sending the two charges there.,Trump
69,"Senator Chuck Schumer, the minority leader, laid out a long list of records Democrats would like to see as the House pressed for testimony from a former White House counsel.",Trump
70,"With lawmakers at odds over a trial’s format, impeachment proceedings are in limbo.",Trump
71,"Rudolph Giuliani said in an interview that he briefed the president “a couple of times” about Marie Yovanovitch, the envoy to Ukraine, setting her recall in motion.",Trump
72,The letter was a diatribe that played loose with facts and sometimes disregarded them outright. A former Clinton aide called it a reflection of the president’s “id.”,Trump
73,The economic losses sustained during a bruising 19-month trade war will not be easy to make up.,Trump
74,"The impeachment battles over Andrew Johnson, Richard M. Nixon and Bill Clinton came at turning points in the American story. The time that produced President Trump has proved to be another one.",Trump
75,"From Capitol Hill to the Trump hotel to the White House, Wednesday was not a normal day, even in the not-normal Trump administration.",Trump
76,"At a contentious Senate hearing, the politics of the Russia investigation jostled with a policy debate about surveillance.",Trump
77,"Backing the impeachment of President Trump is a politically risky step for many Democrats, more so given that Republicans have made clear the effort will die in the Senate.",Trump
78,The move would prevent migrants convicted of misdemeanors like possessing a fake ID from receiving asylum.,Trump
79,"Jewish communities across the country viewed the order, which is aimed at college campuses, in competing and discordant ways.",Trump
80,The full House will vote on two articles of impeachment against President Trump. Here’s a look at the days ahead.,Trump
81,A majority of the House support the articles of impeachment against the president.,Trump
82,"As the House moves toward what even he says is an inevitable vote to impeach him for high crimes and misdemeanors, President Trump toggles between self-pity and combativeness.",Trump
83,A hearing in Virginia was the first time a full appeals panel has considered the anticorruption clauses of the Constitution.,Trump
84,"The president’s order would allow the government to withhold money from campuses deemed to be biased, but critics see it as an attack on free speech.",Trump
85,"The former bureau director acknowledged “significant mistakes” in warrants to wiretap a former Trump campaign adviser, days after an inspector general’s report was released.",Trump
86,"The Senate Democratic leader wants to seek testimony from Mick Mulvaney, John Bolton and other White House officials, and subpoena documents the White House has withheld.",Trump
87,"In June, President Trump promised that millions of undocumented immigrants already in the country would be deported. That didn’t happen.",Trump
88,A Republican congressman says there isn’t one — and that suggests how history will remember it. But historians disagree.,Trump
89,"By the time the Justice Department inspector general’s report was released, the president and his supporters had moved on in their effort to convince Americans of the enemies arrayed against him.",Trump
90,"Democrats have narrowed their focus to two articles of impeachment against President Trump, expected to be unveiled on Tuesday, after lawyers labeled his conduct a “clear and present danger” to fair elections and national security.",Trump
91,A long-awaited report by the Justice Department’s inspector general delivers a scathing critique of the F.B.I.’s handling of a wiretap application but also punctures many conspiracy theories.,Trump
92,"On the day Democrats formally charged President Trump with high crimes and misdemeanors, Speaker Nancy Pelosi said she would cut a deal with him on trade.",Trump
93,The visit of Sergey Lavrov to Washington came at a delicate moment in the relationship between President Trump and Russia.,Trump
94,The House Judiciary Committee voted over Republican objections to advance two articles of impeachment accusing President Trump of abuse of power and obstruction of Congress.,Trump
95,"Sergey V. Lavrov is set to visit the White House on Tuesday afternoon, for a conversation that could include extending the last major nuclear treaty between the United States and Russia.",Trump
96,The attorney general reprised his role as a vocal defender of President Trump.,Trump
97,"As the House takes another step toward impeaching President Trump, concern is increasing that trying to remove a president will become a more common partisan tool.",Trump
98,The Defense Department’s inspector general will look at a $400 million contract awarded to a North Dakota company embraced by President Trump.,Trump
99,Republicans on the House Judiciary Committee spent more than 14 hours trying to gut or water down the Democrats’ draft of the articles of impeachment. All their amendments failed.,Trump
100,Members of the House granted The New York Times rare access to photograph their impeachment preparations.,Trump
101,The panel will meet to debate the charges against President Trump before voting to send them to the full House.,Trump
102,"The all-hands-on-deck atmosphere is a change from just weeks ago, when President Trump’s aides dismissed the idea of a war room.",Trump
103,"The deliberative, sometimes tedious process lets members of the Judiciary Committee propose changes to the articles of impeachment before voting to recommend them to the full House. It can get messy.",Trump
104,"Washington’s sanctions have crippled the Iranian economy, and protesters have taken to the streets to criticize the government in Tehran. In response, Iranian security forces have killed hundreds.",Trump
105,"Even before President Trump issued his order targeting anti-Semitism on U.S. campuses, the Education Department was actively investigating accusations of anti-Jewish bias.",Trump
106,"The report, which echoes one released in 1974 as the House debated impeaching President Richard M. Nixon, comes two days before the committee will formally receive the evidence against President Trump.",Trump
107,"House lawyers sought to dismiss as moot a lawsuit brought by a former Trump adviser, but his lawyers asked a federal judge to rule anyway on his duty to comply with a House subpoena.",Trump
108,"White House chief of staff Mick Mulvaney wants to see if the Medicare chief Seema Verma and the health secretary, Alex M. Azar II, can still work together.",Trump
109,"Whether it means serving in the military, working for a federal contractor or seeking medical help, regulations that once protected transgender people are under attack.",Trump
110,"A New York defense lawyer working for House Democrats, Mr. Berke has been an architect of their impeachment inquiry.",Trump
111,The inquiry by the Justice Department’s inspector general found no evidence of the political conspiracy alleged by President Trump but uncovered flaws in how the case was handled.,Trump
112,The impeachment report shows that the president’s personal lawyer was in frequent contact with the White House at key moments in the Ukraine pressure campaign.,Trump
113,The attorney general embodies the combative culture and conservative ideology that animate the president and the Republican Party. Is he what the party looks like post-Trump?,Trump
114,"At the first House Judiciary Committee impeachment hearing, Republicans’ witness said lawmakers were rushing the process and should instead let court fights over access to witnesses play out.",Trump
115,Democrats and Republicans clashed over the Constitution and President Trump’s conduct as the House Judiciary Committee formally began its impeachment proceedings.,Trump
116,"In a series of moves and comments, the president has stirred new turmoil into financial markets and the global economy.",Trump
117,An army of Democratic lawyers and aides are preparing to formally present the case for impeachment to lawmakers — and the country.,Trump
118,"They did not rule out future participation, but said they would not appear at the Judiciary Committee’s first public hearing, featuring legal experts who will offer assessments on impeachment.",Trump
119,"Jay Sekulow is a trusted, telegenic presidential adviser more experienced in religious liberty cases than impeachment battles.",Trump
120,"Nine months ago, the speaker said President Trump was “just not worth it.” Then she saw an explosive headline.",Trump
121,The development institution has become the latest flash point between the world’s two largest economies.,Trump
122,"A report by the Office of the United States Trade Representative renewed a conflict between the countries, which had negotiated a temporary truce in August.",Trump
123,"Visa applicants must disclose their social media user names, a rule that grew out of Trump’s vow of “extreme vetting” of foreign visitors. A new lawsuit objects.",Trump
124,The president has made a trade agreement that caters to his opposition — and that’s why it stands a chance of passing Congress.,Trump
125,"The congressional saga returned to TV, shifting modes from foreign-intrigue thriller to constitutional documentary.",Trump
126,"While only three previous presidents faced serious threat of removal, one out of four confronted formal accusations in the House.",Trump
127,The House Judiciary Committee kicked off its first hearing with testimony from four experts on constitutional law. We examined their opening statements.,Trump
128,President Trump’s personal lawyer has been in Budapest and Kyiv this week to talk with former Ukrainian prosecutors for a documentary series intended to debunk the impeachment case.,Trump
129,The Agriculture Department gave its final approval to the first of three rules that are ultimately expected to cut more than three million from the food stamp rolls.,Trump
130,Republicans and Democrats sparred as a panel of constitutional scholars kicked off a sharply partisan debate over whether to recommend President Trump’s impeachment.,Trump
131,"Representative Jerrold Nadler, the chairman of the Judiciary Committee, gave the president until next Friday to say if he will present evidence or call witnesses.",Trump
132,House Democrats’ impeachment report showed the president’s personal lawyer executing an irregular foreign policy.,Trump
133,"The former lobbyist becomes President Trump’s second energy secretary, succeeding Rick Perry.",Trump
134,Details were unclear. The declaration came on an unannounced trip as the president seeks to highlight a record of achievement while he campaigns for re-election.,Trump
135,"After initially resisting calls to lead Republicans’ impeachment counteroffensive, the senator has now taken on the role with zeal.",Trump
136,"The White House is debating whether to accept an invitation by Democrats to be part of an impeachment hearing next week, calling it a “sham partisan process.”",Trump
137,"The F.B.I. never tried to place undercover agents or informants inside the Trump campaign, a highly anticipated inspector general’s report is expected to find.",Trump
138,"As fights over the president’s stonewalling of Congress play out slowly in courts, he is reducing the prospect that voters learn new damaging facts about him before the 2020 election.",Trump
139,"The president took on the impeachment inquiry, Democrats and the news media in his first return to the state as a formal resident.",Trump
140,"White House lawyers briefed President Trump in late August about the complaint, people familiar with the matter said.",Trump
141,"The court set a brisk briefing schedule in the case, which concerns a subpoena from a House committee.",Trump
142,The president presented the dog that took part in a raid that killed the Islamic State’s leader even as he is embroiled in a dispute over a war crimes case.,Trump
143,Justice Ruth Bader Ginsburg’s health scare raised the question of how the Senate would handle a Supreme Court vacancy in a presidential election year.,Trump
144,The end of a 90-day pause on the taxation of technology companies and other corners of the digital economy raised questions of whether the president would revive threats against French wine.,Trump
145,"In emails uncovered during an internal review, Mick Mulvaney, the acting White House chief of staff, also asked budget officials how long the aid could be withheld.",Trump
146,"Secretary of State Mike Pompeo did not explicitly endorse legislation to support pro-democracy activists from Chinese-backed crackdowns, but noted standards that Beijing should heed.",Trump
147,"Aides describe the president as obsessed with narrow policies that  affect California, even as an impeachment inquiry threatens his administration.",Trump
148,A House committee and prosecutors in Manhattan have subpoenaed the records.,Trump
149,"Jon Voight, James Patterson and Alison Krauss were among the honorees.",Trump
150,A judge rejected the Trump administration’s argument that senior White House officials were immune from congressional subpoenas.,Trump
151,"After the report is delivered, another House committee is expected to promptly draft and debate articles of impeachment against President Trump.",Trump
152,"After a lull of several weeks, American troops and Syrian Kurdish fighters are once again conducting large-scale counterterrorism missions.",Trump
153,"The House hearing will have testimony by Fiona Hill, a former White House expert on Russia, and David Holmes, an embassy official in Kyiv.",Trump
154,"The president suggested that a trade deal with China remains some distance off, but said he would “look into” Apple receiving exemptions from more tariffs.",Trump
155,They put forward a shifting array of arguments to defend the president against impeachment — some of which conflict.,Trump
156,"Dr. Hill’s decision to be the president’s top adviser on Russia and Europe strained friendships, made her a target of conspiracy theories — and landed her in the center of the tumult over Ukraine.",Trump
157,"Two days after a mysterious, unannounced hospital visit, President Trump’s physician issued a late-night statement attributing it to “regular, primary preventative care.”",Trump
158,The first of the “three amigos” will testify before the House Intelligence Committee on Tuesday afternoon.,Trump
159,The attorney general wrapped his maximalist vision of executive power around an embattled president.,Trump
160,"As part of the Russia inquiry, President Trump had given written answers to questions from Robert S. Mueller III.",Trump
161,The American ambassador to the European Union once boasted he could get President Trump on the phone. No more.,Trump
162,Israel’s political limbo and a new United States policy toward settlements have further diminished hopes that the plan will be the basis for an Israeli-Palestinian deal.,Trump
163,"With its public hearings over, the House Intelligence Committee plans to move forward without testimony by some of the key players in the Ukraine drama.",Trump
164,"The lawyer, Robert Luskin, also represented the Republican strategist Karl Rove and likely spared him a perjury charge.",Trump
165,The United States ambassador to the European Union delivered explosive testimony to the House Intelligence Committee on Wednesday.,Trump
166,"“The uniform I wear today is that of the United States Army,” Lt. Col. Alexander S. Vindman told the impeachment inquiry. “We do not serve any particular political party; we serve the nation.”",Trump
167,Lt. Col. Alexander S. Vindman and Jennifer Williams testified Tuesday morning in front of the House Intelligence Committee.,Trump
168,Her declaration reflected a shift by Trump’s critics from talking about the Ukraine affair using more abstract concepts like “quid pro quo” or “abuse of power.”,Trump
169,President Trump’s former special envoy to Ukraine appeared in front of the House Intelligence Committee on the third day of public impeachment hearings.,Trump
170,"The top Ukraine expert on the National Security Council, appeared in front of the House Intelligence Committee during the third day of public impeachment hearings.",Trump
171,The decorated combat veteran and top Ukraine expert on the National Security Council will be the first active-duty military officer to take part in the public impeachment hearings.,Trump
172,"As Marie Yovanovitch testified, President Trump tweeted insults at her, drawing charges of witness intimidation.",Trump
173,American officials expressed wonderment that Rudolph W. Giuliani was running his “irregular channel” of diplomacy over open cell lines and communications apps penetrated by the Russians.,Trump
174,"Mr. Stone, a longtime informal adviser to President Trump, obstructed one of Congress’s Russia investigations and lied to lawmakers.",Trump
175,Newly released emails show President Trump’s chief immigration adviser was a young Senate aide who promoted his anti-immigrant views by referring to the sites.,Trump
176,"The president publicly targeted Marie L. Yovanovitch, the former ambassador to Ukraine, even as she was testifying about how she felt threatened by an earlier smear campaign.",Trump
177,"President Trump seemed unbothered by Turkey’s recent invasion of Syria, which prompted outrage in Congress and among some in his administration.",Trump
178,The decision almost certainly paves the way for a major Supreme Court case over President Trump’s stonewalling of congressional oversight efforts.,Trump
179,"In an appearance at the Economic Club of New York, the president overstated some of the economy’s gains on his watch, understated others and often cited inaccurate statistics.",Trump
180,"The president blames Michael Atkinson, whom he appointed, for finding the anonymous whistle-blower’s complaint on his interactions with Ukraine to be credible.",Trump
181,"President Trump, in an economic address in New York, said his policies have fueled America’s growth but gave little indication that a breakthrough in China trade talks was imminent.",Trump
182,"The justices are considering whether the Trump administration can shut down a program that shields about 700,000 young immigrants from deportation.",Trump
183,The attorney general strongly defended President Trump’s assertions of executive power.,Trump
184,The former American ambassador to Ukraine appeared in front of the House Intelligence Committee during the second day of public impeachment hearings.,Trump
185,"Even as Ms. Yovanovitch was testifying about “the smear campaign against me,” President Trump hurled insults at her on Twitter.",Trump
186,"With nationally televised hearings set to begin, Democrats described the president’s actions in the starkest terms yet, echoing the constitutional definition of behavior that warrants impeachment.",Trump
187,The former ambassador to Ukraine will testify publicly about the campaign by Rudy Giuliani that led to her ouster and her shock and anger about the effort to get her fired.,Trump
188,The former ambassador to the United Nations says in a new book that John Kelly and Rex Tillerson sought to enlist her in circumventing President Trump’s policies.,Trump
189,Two witnesses testified about President Trump’s involvement in a pressure campaign to have Ukraine investigate the president’s political rivals.,Trump
190,"When the Supreme Court hears arguments on Tuesday, the administration’s attempts to end the program protecting “Dreamers” could rest on a top aide’s actions in 2017.",Trump
191,"Mr. Taylor, the top United States diplomat in Ukraine, appeared on Capitol Hill for testimony Wednesday as the public impeachment hearings began.",Trump
192,The pronunciations heard during Wednesday’s testimony before the House Intelligence Committee left some spectators scratching their heads. We asked two experts.,Trump
193,"Mr. Kent, a senior State Department official, appeared on Capitol Hill for testimony Wednesday as the public impeachment hearings began.",Trump
194,Witnesses testified that President Trump pressured a foreign power to help him win re-election during historic hearings that previewed an intensely partisan battle.,Trump
195,"Transcripts from two witnesses were released, and President Trump called the upcoming public hearings a “hoax.",Trump
196,"In a battleground Illinois district, voters across the political spectrum are already exhausted with the revelations about President Trump in the impeachment inquiry, and they wonder if it’s worth it.",Trump
197,"Meteorologists were addressing public concern, not the president's tweets, when they assured Alabamians that a hurricane would not hit them, according to new documents.",Trump
198,A new agency rule would restrict the science that can be used in drafting health regulations by requiring researchers to turn over confidential health data.,Trump
199,A number of Secretary of State Mike Pompeo’s top diplomats have testified to impeachment investigators. Where does that leave him?,Trump
200,“Could we have stopped Turkey from coming in?” William V. Roebuck asked in an internal memo.,Trump
201,"Ahead of another election, the president sought to tie the state’s Democratic governor, John Bel Edwards, to the party he has repeatedly painted as “delusional.”",Trump
202,The attorney general has not jumped in to publicly defend the president against the Democratic inquiry as he did with the Mueller investigation.,Trump
203,House Democrats on Wednesday released William B. Taylor Jr.’s interview transcript and announced public hearings for the impeachment inquiry will begin next week.,Trump
204,"Newly revealed calls between President Trump and Roger Stone dovetailed with key developments in the theft of Democratic emails, prosecutors said.",Trump
205,"Richard M. Nixon and Bill Clinton sustained unanimous losses when they sought to withhold evidence, suggesting that President Trump may face an uphill fight.",Trump
206,"The former Trump campaign chairman testified at the trial of a longtime Trump adviser, Roger J. Stone Jr.",Trump
207,John Eisenberg played down aides’ complaints about Ukraine policy.,Trump
208,"The former national security adviser would be an important witness in the impeachment inquiry, but his lawyer wants a court to rule on whether he should testify.",Trump
209,"Former President Petro Poroshenko alternately flattered President Trump, signed deals with U.S. firms and met with Rudolph Giuliani.",Trump
210,"Mr. Stone, a longtime informal Trump adviser, faces charges of lying, obstruction and witness tampering.",Trump
211,Michael Lind’s “The New Class War” sees class divisions at the heart of America’s current political divide.,Trump
212,He lacks a clear moral or strategic framework.,Trump
213,"The United States  notified the United Nations on Monday that it would leave the Paris climate agreement, starting the clock on a yearlong withdrawal process. ",Trump
214,Republican foreign policy was once defined by clashing world views. Now it’s defined only by loyalty to the president.,Trump
215,The president has shown us exactly what happens when good people do nothing.,Trump
216,"Steven Menashi, who faces a key vote Thursday, helped devise an Education Department plan to use Social Security data to deny students debt relief, an effort that a judge ruled violated privacy laws.",Trump
217,Mr. Trump’s defense team includes some of his favorite television personalities and several of his personal lawyers.,Trump
218,House investigators released the interview transcript of a witness who provided one of the most damning accounts about the actions at the heart of the inquiry.,Trump
219,The president believes that what is good for him and what is good for the country are indistinguishable.,Trump
220,Their contempt for Congress should be met with a legal and political fusillade.,Trump
221,Lev Parnas has shown us Trumpism from the inside.,Trump
222,The president weighed in before thousands were expected to gather in Virginia’s capital for a gun rights rally.,Trump
223,"So far, the president has offered something for both hawks and isolationists. Will that last?",Trump
224,"The House impeachment managers will read the charges against President Trump in the Senate, and the chief justice of the United States and every senator will swear to do “impartial justice.”",Trump
225,Why did the president target Qassim Suleimani? Because he’s obsessed with Jimmy Carter.,Trump
226,"China has suffered short-term pain from the trade war, but it stands to gain in the long term.",Trump
227,President Trump cited Maj. Gen. Qassim Suleimani’s “horrible past” as possibly reason enough for the drone strike that killed him.,Trump
228,Part of President Trump’s appeal reflected his criticisms of America’s entanglements abroad. The uncertainty in the Middle East could threaten his re-election chances.,Trump
229,"The chief justice was sworn in as the presiding officer and senators swore to do “impartial justice,” as the Senate opened only the third presidential impeachment trial in U.S. history.",Trump
230,"Drawings of the proceedings from inside the Senate chamber, where no photos are allowed.",Trump
231,Voters in this presidential election are more concerned with the candidates’ values than their proposals.,Trump
232,Let’s tally up the results of his efforts with Iran.,Trump
233,"Unstable and impeached, the president pushes the U.S. toward war with Iran.",Trump
234,The president interrupted a meeting with campaign advisers to scold his health and human services secretary about the administration’s ban on most flavored e-cigarettes.,Trump
235,The president formally announced that he would nominate Judy Shelton and Christopher Waller to the Federal Reserve’s seven-person Board of Governors.,Trump
236,The candidates were short on specifics at Tuesday’s debate when pressed on how they would accomplish their key foreign policy goals.,Trump
237,"After tense exchanges on the issue, Gov. Gavin Newsom said he had made an overture to the federal government.",Trump
238,Which isn’t good in an international crisis.,Trump
239,"David Richter had been the front-runner in his House primary in New Jersey. That changed when the Democratic incumbent announced he was becoming a Republican, with the president’s support.",Trump
240,"In a six-page filing formally responding to the impeachment charges, President Trump’s lawyers rejected the case against him as illegitimate and described the effort to remove him as dangerous.",Trump
241,The decline of discourse in the anti-Trump echo chamber.,Trump
242,The president put us on a path toward conflict and turmoil with Iran.,Trump
243,His tweets Monday morning misrepresent his record on health care.,Trump
244,His proposal would threaten scrutiny of big projects that could put communities and the environment at risk.,Trump
245,"Ms. Carroll, a writer who claims the president raped her in the 1990s, says that his denials have hurt her reputation and career.",Trump
246,President Trump claims Nancy Pelosi has intentionally undermined Bernie Sanders’s presidential campaign by delaying the impeachment trial. Mr. Sanders denounced that theory on Friday.,Trump
247,The Lehigh Valley rebuilt its economy after foreign competition wiped out its mills. Now good times and bad memories may both help the president.,Trump
248,"President Trump’s order allowing state and local officials to veto refugee resettlement in their communities is likely “unlawful,” the judge said.",Trump
249,"An initial pact, cooling tensions in an election year, follows months of escalating tariffs and a trade war that seemed as if it would never end.",Trump
250,"The debate over the resolution reignited a fierce dispute over Congress’s role in matters of war and peace, and highlighted deep disagreements over President Trump’s policy on Iran.",Trump
251,"Rejecting his predecessor’s hopes of moderating Iran’s theocratic government, Mr. Trump sees it choking under “maximum pressure.”",Trump
252,"A senior aide said the North’s leader, Kim Jong-un, had “good personal feelings” about President Trump, but that did not affect policy.",Trump
253,And could America really ditch the two-party system?,Trump
254,President Trump called the initial trade pact he signed with China a path “toward a future of fair and reciprocal trade.”,Trump
255,"In an interview, he said the president knew everything about the effort to push Ukraine to investigate the Bidens and the 2016 election.",Trump
256,Imaad Zuberi was said by federal prosecutors in New York to have deleted emails and backdated a check to hide the sources of money he donated.,Trump
257,Because he’s just a bully with delusions of grandeur.,Trump
258,"As Ken Starr’s successor, Mr. Ray ended up striking a deal that prevented Mr. Clinton from being prosecuted.",Trump
259,When are we going to stop trying to rationalize the irrational?,Trump
260,"In an internal memo, Andrew Bosworth said he “desperately” wanted the president to lose. But, he said, the company should avoid hurting Mr. Trump’s campaign.",Trump
261,How people across the political spectrum are taking stock of his latest shock to the world order.,Trump
262,New York Fed and academic researchers found that U.S. consumers and companies have borne the brunt of the president’s trade war.,Trump
263,"The president asked administration officials to help kill the Foreign Corrupt Practices Act, according to a new book from two Washington Post reporters.",Trump
264,"President Trump’s recent suggestion that his administration was responsible for the decline drew a rebuttal from the American Cancer Society, which published the findings.",Trump
